"","statefips","state","state_name","total","top_01","top_05","top_10","top_25","top_50","top_75","agi_01","agi_05","agi_10","agi_25","agi_50","agi_75","total_agi","sum_agi_01","sum_agi_05","sum_agi_10","sum_agi_25","sum_agi_50","sum_agi_75","total_sal_num","total_sal_amt","num_sal_01","sum_sal_01","num_sal_05","sum_sal_05","num_sal_10","sum_sal_10","num_sal_25","sum_sal_25","num_sal_50","sum_sal_50","num_sal_75","sum_sal_75","total_int_num","total_int_amt","num_int_01","sum_int_01","num_int_05","sum_int_05","num_int_10","sum_int_10","num_int_25","sum_int_25","num_int_50","sum_int_50","num_int_75","sum_int_75","total_div_num","total_div_amt","num_div_01","sum_div_01","num_div_05","sum_div_05","num_div_10","sum_div_10","num_div_25","sum_div_25","num_div_50","sum_div_50","num_div_75","sum_div_75","total_businc_num","total_businc_amt","num_businc_01","sum_businc_01","num_businc_05","sum_businc_05","num_businc_10","sum_businc_10","num_businc_25","sum_businc_25","num_businc_50","sum_businc_50","num_businc_75","sum_businc_75","total_cpgain_num","total_cpgain_amt","num_cpgain_01","sum_cpgain_01","num_cpgain_05","sum_cpgain_05","num_cpgain_10","sum_cpgain_10","num_cpgain_25","sum_cpgain_25","num_cpgain_50","sum_cpgain_50","num_cpgain_75","sum_cpgain_75","total_scorp_num","total_scorp_amt","num_scorp_01","sum_scorp_01","num_scorp_05","sum_scorp_05","num_scorp_10","sum_scorp_10","num_scorp_25","sum_scorp_25","num_scorp_50","sum_scorp_50","num_scorp_75","sum_scorp_75","total_tax","sum_tax_01","sum_tax_05","sum_tax_10","sum_tax_25","sum_tax_50","sum_tax_75","Year","avg_inc_1","avg_inc_5","avg_inc_10","avg_inc_25","avg_inc_50","avg_inc_75","avg_tax_rate_01","avg_tax_rate_5","avg_tax_rate_10","avg_tax_rate_25","avg_tax_rate_50","avg_tax_rate_75","true_sum_sal_10","true_sum_int_10","true_sum_div_10","true_sum_businc_10","true_sum_cpgain_10","true_sum_scorp_10","true_sum_sal_05","true_sum_int_05","true_sum_div_05","true_sum_businc_05","true_sum_cpgain_05","true_sum_scorp_05","true_sum_sal_25","true_sum_int_25","true_sum_div_25","true_sum_businc_25","true_sum_cpgain_25","true_sum_scorp_25","true_sum_sal_50","true_sum_int_50","true_sum_div_50","true_sum_businc_50","true_sum_cpgain_50","true_sum_scorp_50","true_sum_sal_75","true_sum_int_75","true_sum_div_75","true_sum_businc_75","true_sum_cpgain_75","true_sum_scorp_75","true_sum_agi_05","true_sum_agi_10","true_sum_agi_25","true_sum_agi_50","true_sum_agi_75","SalPerc01","SalPerc05","SalPerc10","SalPerc25","SalPerc50","SalPerc75","BusPerc01","BusPerc05","BusPerc10","BusPerc25","BusPerc50","BusPerc75","DivPerc01","DivPerc05","DivPerc10","DivPerc25","DivPerc50","DivPerc75","CapPerc01","CapPerc05","CapPerc10","CapPerc25","CapPerc50","CapPerc75","IntPerc01","IntPerc05","IntPerc10","IntPerc25","IntPerc50","IntPerc75","SCorpPerc01","ScorpPerc05","ScorpPerc10","ScorpPerc25","ScorpPerc50","ScorpPerc75"
"1",0,"US","United States",145661804,1456618,7283090,14566180,36415451,72830902,109246353,551238.97,223469,155376,89145,45144,22377,12090414189,2377951022,4239815950,5576710227,8110504609,10445199123,11645600645,120157791,8147771210,1231414,884311764,6348564,2131340327,12728439,3103418937,31493640,4983372579,62725183,6805641409,94205465,7809769237,46587205,144344064,1377226,69320261,6075211,90780092,10983045,102052702,22532698,119941119,34615586,133665904,41005591,139712450,27634772,320724785,1211269,152210213,4950330,214584643,8342571,243484841,15256942,282021471,21698671,306397440,24881564,315090552,26173350,372109056,401726,56305437,1810472,128984526,3334794,167351044,7329864,226027851,12737991,280111411,17772370,319545729,24470131,841902022,1240485,607817614,4846355,722988478,7919095,764762524,13933490,810112885,19432987,832574643,22145720,839206878,8492093,756238588,876094,496659457,2549343,652016289,3647587,694196031,5505799,732971593,7061578,751408597,7875806,756431210,1576185028,608454470,933477284,1111589572,1361088154,1525325698,1571989500,2019,1632515.19753292,319552.711829732,183561.41102197,115966.998715884,64112.7447247598,32964.0712674408,0.255873423956501,0.174568417457187,0.133228401874593,0.0984683618262123,0.0703464813127153,0.0388734945306076,972078610,11272610,28900198,38366518,41774046,42179742,1247028563,21459831,62374430,72679089,115170864,155356832,1879953642,17888417,38536630,58676807,45350361,38775562,1822268830,13724785,24375969,54083560,22461758,18437004,1004127828,6046546,8693112,39434318,6632235,5022613,1861864928,1336894277,2533794382,2334694514,1200401522,0.371879721583265,0.66977391552219,0.727117040385087,0.74195193396715,0.780517030846118,0.836493297948351,0.0236781315002206,0.0390356399688302,0.0286982438776645,0.0231576829662416,0.0231651548738766,0.0328509396874957,0.0640089773051684,0.0335010499751999,0.0216174147030177,0.0152090596907796,0.0104407531065968,0.0072418368693138,0.255605606834067,0.0618577976672645,0.0312470826741373,0.0178982009440733,0.00962085526192315,0.00552501382116708,0.0291512568419923,0.0115259870236946,0.00843193825714911,0.00705993237931175,0.00587862134326324,0.00503710291030437,0.208860255070468,0.083441515903564,0.0315505442170428,0.015303357792353,0.00789696634375182,0.00418411082287848
"2",1,"AL","Alabama",1975049,19750,98752,197505,493762,987525,1481287,398479.72,178985.2,130555,76999,38743,19440,130280613,19796708,38963069,53877047,83391851,110635638,124651016,1641948,90352268,16873,7164369,86113,19749174,172988,30714001,427025,52704020,850924,74236520,1274027,86060195,542938,1193962,18199,433155,76844,634390,136487,742805,273620,931802,407896,1074921,481253,1142605,264004,2266975,14938,926567,55773,1435171,89875,1660507,156239,1972011,212851,2158367,240974,2223214,354518,3497926,6745,625207,26422,1370883,46613,1701128,100971,2228321,173790,2657003,240783,2861212,228809,5843554,15221,4042714,53119,4921247,82865,5236314,139500,5594534,186577,5772456,209246,5821565,90334,7684729,13004,5552382,32743,6923805,44298,7251655,63430,7553178,78228,7668815,85170,7695368,13732940,4608912,7496538,9223742,11695916,13301961,13704745,2019,1002364.96202532,242606.022632338,151023.037274817,99625.6763553266,55175.8373956736,28384.885835686,0.232812041274741,0.150661150543914,0.115811086753648,0.0837604749128607,0.0589508719914746,0.0287387182850152,10964827,108415,225336,330245,315067,327850,12584805,201235,508604,745676,878533,1371423,21990019,188997,311504,527193,358220,301523,21532500,143119,186356,428682,177922,115637,11823675,67684,64847,204209,49109,26553,19166361,14913978,29514804,27243787,14015378,0.3618969881255,0.656608993225162,0.735204718687395,0.745050483818222,0.79036368915966,0.84362155626484,0.0315813619112834,0.0389054552400427,0.0221433208497424,0.017861985463295,0.01573503712975,0.0145703526512093,0.0468040949030516,0.0265362840656085,0.0151090473648278,0.0105541612270236,0.00684031188468769,0.00462684631124469,0.20421142747572,0.0458372353520838,0.02112561785997,0.0121369601505739,0.0065307367143929,0.00350393688989337,0.0218801530032165,0.0104993848336677,0.00726935496351141,0.00640346451224951,0.0052532711403154,0.00482926682391299,0.280469965006303,0.07155364547292,0.0219827332452817,0.0102159919476341,0.00424452738527136,0.00189456181631348
"3",2,"AK","Alaska",326241,3262,16312,32624,81560,163121,244681,451934.2,213535,160985,99424,52318,25923,26278777,3253267,6959400,9949817,16079070,22056330,25169475,275982,17839660,2787,1090768,14075,3368122,28488,5480625,70800,9928965,140820,14443561,213333,16997244,90878,202995,3013,62851,12421,101197,21693,119909,43624,152954,68626,182374,81293,194402,71756,463508,2460,149913,9581,244933,16328,291784,31984,364201,50285,420582,61472,445830,54911,922496,899,116007,4366,295913,8148,394115,18420,563012,32195,741030,42867,857828,49848,1069359,2466,591037,9117,802253,14909,885865,27023,988490,39425,1042239,45493,1060284,18558,1572137,2106,1048625,5660,1350725,7832,1436268,11812,1517194,15488,1567703,17326,1575106,3128969,810293,1430385,1835156,2484885,2960150,3110079,2019,997322.808093194,283994.865900383,183326.201569397,125250.38826222,73285.7615772244,38169.9975478176,0.249070549696659,0.16731509635515,0.135356038973829,0.106004597950191,0.0795121845126362,0.0481599796989861,2112503,18712,46851,98202,83612,85543,2277354,38346,95020,179906,211216,302100,4448340,33045,72417,168897,102625,80926,4514596,29420,56381,178018,53749,50509,2553683,12028,25248,116798,18045,7403,3706133,2990417,6129253,5977260,3113145,0.335283885398893,0.614482534760625,0.706424221103612,0.725755650810955,0.755295235609627,0.820290413713463,0.035658616400068,0.0485427803049702,0.0328388983877499,0.0275558865003615,0.0297825425027521,0.0375176870977741,0.0460807551301507,0.0256385833967642,0.0156670457665269,0.011814979737335,0.00943258282222958,0.00811012657617939,0.181674913248743,0.0569909390731525,0.0279599801633016,0.0167434759178647,0.00899224728387254,0.00579638918200084,0.0193193488268869,0.010346633539595,0.00625732130335,0.00539135845754776,0.00492198766658971,0.00386361701751766,0.322329830290597,0.0815135344576139,0.0286057095047279,0.013203240264352,0.00845019289774914,0.00237798110913562
"4",4,"AZ","Arizona",3079603,30796,153980,307960,769901,1539802,2309702,466849.98,201022,142333.8,82661,42268,22214,228602873,39224917,73694374,99384337,148921813,194725864,219037000,2495969,150715641,25523,13813464,129858,35629729,258502,53167317,636697,88058574,1283058,123228211,1948911,143628757,781054,2350957,27999,930139,116044,1339917,202190,1556922,393549,1898034,580556,2147456,678344,2255682,524087,5580348,23344,2299422,94098,3453093,158598,4020507,290688,4794619,408794,5271961,465954,5445259,511519,6714408,8668,865324,37489,2015935,69279,2667008,150882,3760232,257934,4846466,351568,5652128,494215,15127983,24923,10346034,96505,12698827,158200,13594863,280307,14545383,388072,14963820,440481,15078027,164693,13688239,18627,8834958,52357,11665067,74310,12497624,110543,13261910,139149,13620662,152798,13704071,26773755,9581748,15164116,18359097,22876183,25814606,26682324,2019,1273701.68203663,279820.893947266,166839.609040135,107237.668879792,59493.4296747244,31577.0048058189,0.244277075207068,0.161951144168009,0.124366897686851,0.0911852271197669,0.0641520331902521,0.0356922029476533,17537588,217005,567414,651073,896036,832557,21816265,409778,1153671,1150611,2352793,2830109,34891257,341112,774112,1093224,950520,764286,35169637,249422,477342,1086234,418437,358752,20400546,108226,173298,805662,114207,83409,34469457,25689963,49537476,45804051,24311136,0.352160439243249,0.632915830382823,0.682663030694127,0.704340628900835,0.767828090139887,0.839144086068212,0.0220605693059848,0.0333805954645587,0.0253434775285585,0.0220686253776838,0.0237148019942603,0.0331396278643664,0.0586214624749875,0.0334693697089571,0.0220869917173489,0.0156267953579226,0.0104213926405767,0.00712833822327348,0.263761781828627,0.0682573270591411,0.0348788357538701,0.0191878972598442,0.00913537101772941,0.00469772370982582,0.0237129628598067,0.0118881478173561,0.00844707327916354,0.00688593823391406,0.00544541355086693,0.00445170476607922,0.225238411594344,0.0821048326928968,0.0324078707314604,0.0154284404800923,0.0078323203334133,0.00343089685319518
"5",5,"AR","Arkansas",1196549,11965,59827,119655,299137,598275,897412,381026.24,169249,122308,72354,36995,19121,76851514,13401578,24532260,33022318,49772775,65390621,73603144,996110,52071566,10476,4538886,52210,11876691,103844,17956300,256743,30304749,515609,42723785,775280,49644186,314887,724418,10828,274163,45564,392311,80174,458215,157877,568327,233427,649090,275784,690945,163312,3524198,8666,2789693,33397,3060624,54156,3183190,94520,3351570,129390,3453574,147698,3495407,205072,2114377,3709,242310,15189,549254,27719,724161,60336,1046056,103452,1398833,140208,1686835,148739,3648361,8826,2465874,32656,3013696,51635,3221386,87680,3467137,118246,3589459,134375,3630675,64583,3957182,7281,2422304,20997,3355716,29664,3606007,43695,3842415,54757,3944178,60079,3965116,7979939,3024069,4661361,5589187,6891968,7732993,7962774,2019,1120065.0229837,232557.812042957,141907.768937621,93326.6678552724,52209.5019689909,27454.0528252941,0.225650218205647,0.147097185958596,0.109283823502737,0.0777758481455163,0.0538502556626567,0.0279793432541985,6079609,65904,122566,174907,207690,250291,7337805,118148,270931,306944,547822,933412,12348449,110112,168380,321895,245751,236408,12419036,80763,102004,352777,122322,101763,6920401,41855,41833,288002,41216,20938,11130682,8490058,16750457,15617846,8212523,0.338682952112057,0.65924127560198,0.716085685162575,0.737200722344471,0.795182383025162,0.84266442845883,0.0180807066152956,0.0275763875025807,0.020601390473422,0.0192170876293106,0.0225880700834161,0.0350686384683489,0.208161531425628,0.0243409163966772,0.0144364149220182,0.0100522630516887,0.00653124637033814,0.00509380612997979,0.183998779845179,0.0492172896503557,0.024462730407731,0.0146713012068865,0.00783219401702386,0.0050186769644359,0.0204575162715913,0.0106146236142583,0.0077624911396365,0.00657367139296558,0.00517119966479372,0.00509648496570421,0.180747670162424,0.0838593717797346,0.0294804817587819,0.0141135253802329,0.00651581530513235,0.00254952101808421
"6",6,"CA","California",17416851,174169,870843,1741685,4354213,8708426,13062638,687743.5,271326.5,181727,97769,47785,23626,1676125226,359535307,635211177,825611901,1168811705,1469295017,1620202738,14346115,1136104714,146259,144549184,759303,332806883,1520606,472538527,3744736,729317763,7479149,967523822,11282686,1094711294,6343336,19531953,167338,8787191,775406,12045660,1460659,13772381,3171501,16396966,4905046,18242698,5702814,18980903,3235828,43186360,145718,20310927,624927,28742909,1061026,32862080,1914250,38288967,2631326,41456779,2951382,42508381,3418206,59462635,42159,7703205,202989,17762598,391478,23925505,892641,33562568,1577976,42814469,2240051,50566329,3093274,132767970,151802,96309484,635470,115947407,1053790,122696562,1845851,129114083,2513501,131792378,2824479,132493835,1019056,108444326,98214,67930180,303023,92374137,444518,99233718,676901,105284419,858030,107844423,948903,108482756,244835106,96283486,149673711,177723196,215864651,238203307,244198528,2019,2064289.89659469,395702.825137726,218639.803776116,131366.938076836,69009.7870728878,34657.8717343115,0.267799807488726,0.193670287501042,0.147318163559084,0.11113483910964,0.0743424180574793,0.0397277287091228,139731644,1726721,4119171,6162907,6749155,6859581,188257699,3258469,8431982,10059393,19637923,24443957,256779236,2624585,5426887,9637063,6417521,6050701,238206059,1845732,3167812,9251901,2678295,2560004,127187472,738205,1051602,7751860,701457,638333,275675870,190400724,343199804,300483312,150907721,0.402044475704301,0.682895093429831,0.733881894272629,0.748191674375199,0.792743055893899,0.84281620023935,0.0214254479324335,0.0364899292781773,0.0323680859532866,0.0280800364326548,0.0307900659721163,0.0513682132937386,0.0564921625346798,0.0305865798120089,0.0216342192060152,0.0158126168393733,0.010542389122761,0.00696851024607283,0.267872117494152,0.0712355528251348,0.0354471078586865,0.018699081191783,0.00891329033274234,0.00464825123162519,0.0244404119120351,0.0118199282367369,0.00906887833052568,0.0076473965585365,0.0061425441157278,0.00489176428553977,0.188938829309468,0.0886691932812255,0.0360270741407475,0.0176302577375598,0.00851962121610268,0.00422995586819577
"7",8,"CO","Colorado",2659169,26592,132958,265917,664792,1329585,1994377,583049.88,246483.6,172433.2,99394,51600,26416,241552673,43302772,80172984,107198259,158618772,206625675,231991452,2220159,160246200,22124,14560348,115495,37895642,232768,57117702,576804,94894147,1145544,131796129,1726410,152898646,950515,3113598,25284,1611488,113109,2030863,206471,2247944,432802,2612284,685814,2895351,828001,3018418,599314,6349139,21906,2503831,93420,3803074,163840,4461114,314015,5385233,460853,5983431,535627,6206709,503365,7874132,7475,757721,34778,1957636,66046,2803380,149718,4245891,262038,5746477,357143,6835325,554489,20209504,23124,13525529,95017,16770610,161717,17993294,298501,19274342,429982,19915068,496587,20121030,222570,16386923,17915,8478536,57638,12680920,86774,14105371,138813,15527162,183505,16224162,205443,16385757,31812403,10929190,17470082,21220553,26641545,30389779,31650615,2019,1628413.5078219,346635.315796401,203260.215555171,128913.852710749,72213.3100077769,38155.9600596878,0.252390077937736,0.177403156781415,0.138776423181633,0.105424696949251,0.0780769798876632,0.0497061848332105,19222060,217081,658040,845744,1222684,1424451,23335294,419375,1299243,1199915,3245081,4202384,37776445,364340,924119,1442511,1281048,1421791,36901982,283067,598198,1500586,640726,697000,21102517,123067,223278,1088848,205962,161595,36870212,27025275,51420513,48006903,25365777,0.336245171556223,0.632903710995749,0.711262327580385,0.734657100756657,0.768680745766916,0.831928665145956,0.0174982100453061,0.0325442934800592,0.0312945566696361,0.0280532207059078,0.0312577130834705,0.0429258681884651,0.0578214946608961,0.0352382839567074,0.0243490584277126,0.0179717965863157,0.0124606663337562,0.00880233237089485,0.31234787925355,0.0880136246572165,0.0452422408282617,0.0249131703528512,0.0133465389342029,0.00811968030784155,0.0372144305219075,0.0113743582488758,0.00803251770796042,0.00708549912755635,0.0058963811933463,0.00485169447007281,0.195796610895949,0.113977755267586,0.052708103802829,0.027650268677794,0.0145187453562668,0.0063705913680468
"8",9,"CT","Connecticut",1641917,16419,82096,164192,410479,820959,1231438,815592.08,287613.4,192453.4,108305,54992,26150,180774451,44031939,72818820,91776618,126804233,158831921,175054196,1346326,118959318,13855,19023540,71598,38441858,143942,52061600,356348,77652615,700486,101507761,1052447,114725593,600864,3493431,16013,2301234,72535,2667423,131701,2843746,274885,3113906,441560,3339008,529585,3431034,424900,6373096,15082,3105861,64592,4362394,112997,4921382,217911,5636277,327408,6114986,381580,6279507,282452,6759359,4432,1065157,22824,2588361,42319,3436391,91769,4630755,153183,5560466,204833,6179796,355468,15702372,15084,11929305,62238,13769998,104911,14464652,191279,15184697,278958,15554854,321813,15665591,95331,8632308,10263,4664085,30520,7162530,43295,7800654,63338,8322524,80456,8558964,89166,8637169,28728659,12225626,18130887,21012059,25084759,27832834,28644279,2019,2681767.40361776,438309.925849232,230922.310465796,142222.752317418,78024.965893588,39520.3530509478,0.277653591407819,0.205137229003726,0.15197819915583,0.116271119229785,0.085803102615462,0.0500204194541148,13619742,176323,558988,848030,694654,638124,19418318,366189,1256533,1523204,1840693,2498445,25591015,270160,714895,1194364,720045,521870,23855146,225102,478709,929711,370157,236440,13217832,92026,164521,619330,110737,78205,28786881,18957798,35027615,32027688,16222275,0.432039570185633,0.674554426372208,0.718424260032732,0.730595417358561,0.74482884933811,0.814795212138865,0.024190554043055,0.0529131308112192,0.0447325158755252,0.0340977825638428,0.0290283519684593,0.0381777525038874,0.0705365484813194,0.0436495013127681,0.0294859139231255,0.0204094683580369,0.0149467235974073,0.0101416724842847,0.270923908211265,0.0639420783376983,0.0366421247868555,0.0205564952109928,0.0115574062042817,0.00682623121602858,0.0522628358474061,0.0127206903728125,0.00930081647668152,0.00771277176593382,0.00702835621478516,0.00567281716035513,0.105925042274427,0.0867910976531289,0.0336602383884457,0.0148988162625403,0.00738236241092395,0.00482084048014227
"9",10,"DE","Delaware",450004,4500,22500,45000,112501,225002,337503,449825.88,206461,152495.7,92146,47605,23896,34735206,4906587,9918197,13865800,21780666,29334786,33253321,365639,22919019,3731,1885128,19353,5122875,38581,7832686,94100,13217925,186529,18662710,282231,21815730,144830,314133,4178,86158,18145,138532,32678,170047,68137,229592,107259,278674,127789,299563,93731,888952,3684,363474,15143,536754,25922,623562,49612,752938,73220,842316,84583,870906,62385,839301,1147,117268,4825,277286,8677,360237,19200,497946,33022,634513,44738,728621,77692,1526496,3666,933328,14092,1197674,23228,1305149,42710,1435803,61494,1502476,70527,1520058,22311,1863906,2507,1277812,6543,1602445,9046,1685996,14015,1790215,18385,1843754,20655,1862227,4085712,1203525,2029590,2546104,3335457,3904144,4068256,2019,1090352.66666667,278422.777777778,175449.022222222,117255.536955008,67147.136469898,34831.1126123323,0.245287610308347,0.164830264126698,0.130842437803396,0.0997304313174727,0.0752817005819341,0.0418809580621329,2709811,31515,86808,82951,107475,83551,3237747,52374,173280,160018,264346,324633,5385239,59545,129376,137709,130654,104219,5444785,49082,89378,136567,66673,53539,3153020,20889,28590,94108,17582,18473,5011610,3947603,7914866,7554120,3918535,0.38420352069575,0.646049273586732,0.686444660215326,0.680395473530443,0.720770255172012,0.80464255136167,0.0239001163130298,0.0319294597943575,0.0210130046005133,0.0173987784505764,0.0180784790286625,0.0240161182686897,0.0740787842954787,0.0345757151893304,0.0219900532044382,0.0163459495081787,0.0118316891974181,0.00729609407597482,0.190219392828457,0.0527467221112577,0.0272253820862939,0.016507417813517,0.00882604459553197,0.00448688093892233,0.0175596601058944,0.0104505338603762,0.00798332557757201,0.00752318485240306,0.00649738156132018,0.00533081878814404,0.260427869718809,0.0647761896875455,0.0211649955681967,0.0131675002457401,0.00708739072188422,0.00471426183509909
"10",11,"DC","District of Columbia",336564,3366,16828,33656,84141,168282,252423,831545.21,322798.8,213156.1,109137,57457.5,28180,38352616,8690589,14999088,19360035,26887128,33549411,37098340,291233,26219584,2504,2717053,14182,6852352,29198,10184815,74154,16260491,150075,22021490,225823,25176096,110056,355745,3271,183689,15011,240526,27838,271320,57970,316996,87777,340622,101683,349866,82612,1200790,3066,545148,13507,817791,24253,946045,47665,1102677,68837,1168921,77722,1189735,63776,1356435,1047,295521,4864,621314,8944,809260,18869,1046965,31302,1174156,43515,1244877,70488,3281031,3056,2392981,12782,2851876,22356,3027374,42202,3194721,59216,3253648,66448,3272726,16169,3018330,2333,2159318,6310,2818059,8620,2928490,12077,3001932,14299,3022508,15354,3023105,6477075,2357582,3702812,4439064,5513379,6250862,6455683,2019,2581874.3315508,468615.287475858,259148.264796767,149095.632366049,79179.9835989589,42178.3553796603,0.271279886783278,0.213240899301086,0.168828467761704,0.1427264150981,0.110695237653519,0.0577134679222943,3332463,30794,128254,187946,175498,110431,4135299,56837,272643,325793,458895,658741,6075676,45676,156632,237705,167347,73442,5760999,23626,66244,127191,58927,20576,3154606,9244,20814,70721,19078,597,6308499,4360947,7527093,6662283,3548929,0.312643136155674,0.655512349292597,0.764160399105974,0.8071742969032,0.864718445613913,0.888889577672588,0.034004714755237,0.05164350505564,0.0430975198735504,0.0315799206944832,0.0190912034208094,0.0199274203569584,0.0627285446360425,0.0432183630369126,0.0294096672121904,0.0208090958886784,0.00994313811046454,0.00586486796439151,0.275353143498099,0.0727423433054361,0.0402430939885305,0.0222326202160648,0.0088448659415999,0.00537570630463444,0.0211365420686676,0.00900959166356371,0.007061310307142,0.00606821252241735,0.00354623182473636,0.00260472948317647,0.248466243197095,0.104421194328477,0.0253227108699097,0.00975702040615149,0.00308843079767101,0.0001682197643289
