"","statefips","state","state_name","total","top_01","top_05","top_10","top_25","top_50","top_75","agi_01","agi_05","agi_10","agi_25","agi_50","agi_75","total_agi","sum_agi_01","sum_agi_05","sum_agi_10","sum_agi_25","sum_agi_50","sum_agi_75","total_sal_num","total_sal_amt","num_sal_01","sum_sal_01","num_sal_05","sum_sal_05","num_sal_10","sum_sal_10","num_sal_25","sum_sal_25","num_sal_50","sum_sal_50","num_sal_75","sum_sal_75","total_int_num","total_int_amt","num_int_01","sum_int_01","num_int_05","sum_int_05","num_int_10","sum_int_10","num_int_25","sum_int_25","num_int_50","sum_int_50","num_int_75","sum_int_75","total_div_num","total_div_amt","num_div_01","sum_div_01","num_div_05","sum_div_05","num_div_10","sum_div_10","num_div_25","sum_div_25","num_div_50","sum_div_50","num_div_75","sum_div_75","total_businc_num","total_businc_amt","num_businc_01","sum_businc_01","num_businc_05","sum_businc_05","num_businc_10","sum_businc_10","num_businc_25","sum_businc_25","num_businc_50","sum_businc_50","num_businc_75","sum_businc_75","total_cpgain_num","total_cpgain_amt","num_cpgain_01","sum_cpgain_01","num_cpgain_05","sum_cpgain_05","num_cpgain_10","sum_cpgain_10","num_cpgain_25","sum_cpgain_25","num_cpgain_50","sum_cpgain_50","num_cpgain_75","sum_cpgain_75","total_scorp_num","total_scorp_amt","num_scorp_01","sum_scorp_01","num_scorp_05","sum_scorp_05","num_scorp_10","sum_scorp_10","num_scorp_25","sum_scorp_25","num_scorp_50","sum_scorp_50","num_scorp_75","sum_scorp_75","total_tax","sum_tax_01","sum_tax_05","sum_tax_10","sum_tax_25","sum_tax_50","sum_tax_75","Year","avg_inc_1","avg_inc_5","avg_inc_10","avg_inc_25","avg_inc_50","avg_inc_75","avg_tax_rate_01","avg_tax_rate_5","avg_tax_rate_10","avg_tax_rate_25","avg_tax_rate_50","avg_tax_rate_75"
"1",0,"US","United States",145661804,1456618,7283090,14566180,36415451,72830902,109246353,551238.97,223469,155376,89145,45144,22377,12090414189,2377951022,4239815950,5576710227,8110504609,10445199123,11645600645,120157791,8147771210,1231414,884311764,6348564,2131340327,12728439,3103418937,31493640,4983372579,62725183,6805641409,94205465,7809769237,46587205,144344064,1377226,69320261,6075211,90780092,10983045,102052702,22532698,119941119,34615586,133665904,41005591,139712450,27634772,320724785,1211269,152210213,4950330,214584643,8342571,243484841,15256942,282021471,21698671,306397440,24881564,315090552,26173350,372109056,401726,56305437,1810472,128984526,3334794,167351044,7329864,226027851,12737991,280111411,17772370,319545729,24470131,841902022,1240485,607817614,4846355,722988478,7919095,764762524,13933490,810112885,19432987,832574643,22145720,839206878,8492093,756238588,876094,496659457,2549343,652016289,3647587,694196031,5505799,732971593,7061578,751408597,7875806,756431210,1576185028,608454470,933477284,1111589572,1361088154,1525325698,1571989500,2019,1632515.19753292,319552.711829732,183561.41102197,115966.998715884,64112.7447247598,32964.0712674408,0.255873423956501,0.174568417457187,0.133228401874593,0.0984683618262123,0.0703464813127153,0.0388734945306076
"2",1,"AL","Alabama",1975049,19750,98752,197505,493762,987525,1481287,398479.72,178985.2,130555,76999,38743,19440,130280613,19796708,38963069,53877047,83391851,110635638,124651016,1641948,90352268,16873,7164369,86113,19749174,172988,30714001,427025,52704020,850924,74236520,1274027,86060195,542938,1193962,18199,433155,76844,634390,136487,742805,273620,931802,407896,1074921,481253,1142605,264004,2266975,14938,926567,55773,1435171,89875,1660507,156239,1972011,212851,2158367,240974,2223214,354518,3497926,6745,625207,26422,1370883,46613,1701128,100971,2228321,173790,2657003,240783,2861212,228809,5843554,15221,4042714,53119,4921247,82865,5236314,139500,5594534,186577,5772456,209246,5821565,90334,7684729,13004,5552382,32743,6923805,44298,7251655,63430,7553178,78228,7668815,85170,7695368,13732940,4608912,7496538,9223742,11695916,13301961,13704745,2019,1002364.96202532,242606.022632338,151023.037274817,99625.6763553266,55175.8373956736,28384.885835686,0.232812041274741,0.150661150543914,0.115811086753648,0.0837604749128607,0.0589508719914746,0.0287387182850152
"3",2,"AK","Alaska",326241,3262,16312,32624,81560,163121,244681,451934.2,213535,160985,99424,52318,25923,26278777,3253267,6959400,9949817,16079070,22056330,25169475,275982,17839660,2787,1090768,14075,3368122,28488,5480625,70800,9928965,140820,14443561,213333,16997244,90878,202995,3013,62851,12421,101197,21693,119909,43624,152954,68626,182374,81293,194402,71756,463508,2460,149913,9581,244933,16328,291784,31984,364201,50285,420582,61472,445830,54911,922496,899,116007,4366,295913,8148,394115,18420,563012,32195,741030,42867,857828,49848,1069359,2466,591037,9117,802253,14909,885865,27023,988490,39425,1042239,45493,1060284,18558,1572137,2106,1048625,5660,1350725,7832,1436268,11812,1517194,15488,1567703,17326,1575106,3128969,810293,1430385,1835156,2484885,2960150,3110079,2019,997322.808093194,283994.865900383,183326.201569397,125250.38826222,73285.7615772244,38169.9975478176,0.249070549696659,0.16731509635515,0.135356038973829,0.106004597950191,0.0795121845126362,0.0481599796989861
"4",4,"AZ","Arizona",3079603,30796,153980,307960,769901,1539802,2309702,466849.98,201022,142333.8,82661,42268,22214,228602873,39224917,73694374,99384337,148921813,194725864,219037000,2495969,150715641,25523,13813464,129858,35629729,258502,53167317,636697,88058574,1283058,123228211,1948911,143628757,781054,2350957,27999,930139,116044,1339917,202190,1556922,393549,1898034,580556,2147456,678344,2255682,524087,5580348,23344,2299422,94098,3453093,158598,4020507,290688,4794619,408794,5271961,465954,5445259,511519,6714408,8668,865324,37489,2015935,69279,2667008,150882,3760232,257934,4846466,351568,5652128,494215,15127983,24923,10346034,96505,12698827,158200,13594863,280307,14545383,388072,14963820,440481,15078027,164693,13688239,18627,8834958,52357,11665067,74310,12497624,110543,13261910,139149,13620662,152798,13704071,26773755,9581748,15164116,18359097,22876183,25814606,26682324,2019,1273701.68203663,279820.893947266,166839.609040135,107237.668879792,59493.4296747244,31577.0048058189,0.244277075207068,0.161951144168009,0.124366897686851,0.0911852271197669,0.0641520331902521,0.0356922029476533
"5",5,"AR","Arkansas",1196549,11965,59827,119655,299137,598275,897412,381026.24,169249,122308,72354,36995,19121,76851514,13401578,24532260,33022318,49772775,65390621,73603144,996110,52071566,10476,4538886,52210,11876691,103844,17956300,256743,30304749,515609,42723785,775280,49644186,314887,724418,10828,274163,45564,392311,80174,458215,157877,568327,233427,649090,275784,690945,163312,3524198,8666,2789693,33397,3060624,54156,3183190,94520,3351570,129390,3453574,147698,3495407,205072,2114377,3709,242310,15189,549254,27719,724161,60336,1046056,103452,1398833,140208,1686835,148739,3648361,8826,2465874,32656,3013696,51635,3221386,87680,3467137,118246,3589459,134375,3630675,64583,3957182,7281,2422304,20997,3355716,29664,3606007,43695,3842415,54757,3944178,60079,3965116,7979939,3024069,4661361,5589187,6891968,7732993,7962774,2019,1120065.0229837,232557.812042957,141907.768937621,93326.6678552724,52209.5019689909,27454.0528252941,0.225650218205647,0.147097185958596,0.109283823502737,0.0777758481455163,0.0538502556626567,0.0279793432541985
"6",6,"CA","California",17416851,174169,870843,1741685,4354213,8708426,13062638,687743.5,271326.5,181727,97769,47785,23626,1676125226,359535307,635211177,825611901,1168811705,1469295017,1620202738,14346115,1136104714,146259,144549184,759303,332806883,1520606,472538527,3744736,729317763,7479149,967523822,11282686,1094711294,6343336,19531953,167338,8787191,775406,12045660,1460659,13772381,3171501,16396966,4905046,18242698,5702814,18980903,3235828,43186360,145718,20310927,624927,28742909,1061026,32862080,1914250,38288967,2631326,41456779,2951382,42508381,3418206,59462635,42159,7703205,202989,17762598,391478,23925505,892641,33562568,1577976,42814469,2240051,50566329,3093274,132767970,151802,96309484,635470,115947407,1053790,122696562,1845851,129114083,2513501,131792378,2824479,132493835,1019056,108444326,98214,67930180,303023,92374137,444518,99233718,676901,105284419,858030,107844423,948903,108482756,244835106,96283486,149673711,177723196,215864651,238203307,244198528,2019,2064289.89659469,395702.825137726,218639.803776116,131366.938076836,69009.7870728878,34657.8717343115,0.267799807488726,0.193670287501042,0.147318163559084,0.11113483910964,0.0743424180574793,0.0397277287091228
"7",8,"CO","Colorado",2659169,26592,132958,265917,664792,1329585,1994377,583049.88,246483.6,172433.2,99394,51600,26416,241552673,43302772,80172984,107198259,158618772,206625675,231991452,2220159,160246200,22124,14560348,115495,37895642,232768,57117702,576804,94894147,1145544,131796129,1726410,152898646,950515,3113598,25284,1611488,113109,2030863,206471,2247944,432802,2612284,685814,2895351,828001,3018418,599314,6349139,21906,2503831,93420,3803074,163840,4461114,314015,5385233,460853,5983431,535627,6206709,503365,7874132,7475,757721,34778,1957636,66046,2803380,149718,4245891,262038,5746477,357143,6835325,554489,20209504,23124,13525529,95017,16770610,161717,17993294,298501,19274342,429982,19915068,496587,20121030,222570,16386923,17915,8478536,57638,12680920,86774,14105371,138813,15527162,183505,16224162,205443,16385757,31812403,10929190,17470082,21220553,26641545,30389779,31650615,2019,1628413.5078219,346635.315796401,203260.215555171,128913.852710749,72213.3100077769,38155.9600596878,0.252390077937736,0.177403156781415,0.138776423181633,0.105424696949251,0.0780769798876632,0.0497061848332105
"8",9,"CT","Connecticut",1641917,16419,82096,164192,410479,820959,1231438,815592.08,287613.4,192453.4,108305,54992,26150,180774451,44031939,72818820,91776618,126804233,158831921,175054196,1346326,118959318,13855,19023540,71598,38441858,143942,52061600,356348,77652615,700486,101507761,1052447,114725593,600864,3493431,16013,2301234,72535,2667423,131701,2843746,274885,3113906,441560,3339008,529585,3431034,424900,6373096,15082,3105861,64592,4362394,112997,4921382,217911,5636277,327408,6114986,381580,6279507,282452,6759359,4432,1065157,22824,2588361,42319,3436391,91769,4630755,153183,5560466,204833,6179796,355468,15702372,15084,11929305,62238,13769998,104911,14464652,191279,15184697,278958,15554854,321813,15665591,95331,8632308,10263,4664085,30520,7162530,43295,7800654,63338,8322524,80456,8558964,89166,8637169,28728659,12225626,18130887,21012059,25084759,27832834,28644279,2019,2681767.40361776,438309.925849232,230922.310465796,142222.752317418,78024.965893588,39520.3530509478,0.277653591407819,0.205137229003726,0.15197819915583,0.116271119229785,0.085803102615462,0.0500204194541148
"9",10,"DE","Delaware",450004,4500,22500,45000,112501,225002,337503,449825.88,206461,152495.7,92146,47605,23896,34735206,4906587,9918197,13865800,21780666,29334786,33253321,365639,22919019,3731,1885128,19353,5122875,38581,7832686,94100,13217925,186529,18662710,282231,21815730,144830,314133,4178,86158,18145,138532,32678,170047,68137,229592,107259,278674,127789,299563,93731,888952,3684,363474,15143,536754,25922,623562,49612,752938,73220,842316,84583,870906,62385,839301,1147,117268,4825,277286,8677,360237,19200,497946,33022,634513,44738,728621,77692,1526496,3666,933328,14092,1197674,23228,1305149,42710,1435803,61494,1502476,70527,1520058,22311,1863906,2507,1277812,6543,1602445,9046,1685996,14015,1790215,18385,1843754,20655,1862227,4085712,1203525,2029590,2546104,3335457,3904144,4068256,2019,1090352.66666667,278422.777777778,175449.022222222,117255.536955008,67147.136469898,34831.1126123323,0.245287610308347,0.164830264126698,0.130842437803396,0.0997304313174727,0.0752817005819341,0.0418809580621329
"10",11,"DC","District of Columbia",336564,3366,16828,33656,84141,168282,252423,831545.21,322798.8,213156.1,109137,57457.5,28180,38352616,8690589,14999088,19360035,26887128,33549411,37098340,291233,26219584,2504,2717053,14182,6852352,29198,10184815,74154,16260491,150075,22021490,225823,25176096,110056,355745,3271,183689,15011,240526,27838,271320,57970,316996,87777,340622,101683,349866,82612,1200790,3066,545148,13507,817791,24253,946045,47665,1102677,68837,1168921,77722,1189735,63776,1356435,1047,295521,4864,621314,8944,809260,18869,1046965,31302,1174156,43515,1244877,70488,3281031,3056,2392981,12782,2851876,22356,3027374,42202,3194721,59216,3253648,66448,3272726,16169,3018330,2333,2159318,6310,2818059,8620,2928490,12077,3001932,14299,3022508,15354,3023105,6477075,2357582,3702812,4439064,5513379,6250862,6455683,2019,2581874.3315508,468615.287475858,259148.264796767,149095.632366049,79179.9835989589,42178.3553796603,0.271279886783278,0.213240899301086,0.168828467761704,0.1427264150981,0.110695237653519,0.0577134679222943
